"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C8 C7 C5 C6 C10 C11 C14 C15 C13 C2 C25 C22 C29 C44 C30 C31 C32","0603","C1591"
"10uF","C9 C4 C12 C16 C21","0603","C19702"
"4.7K","R26 R28 R29 R32","0603","C23162"
"HX711","U2","SOP-16","C43656"
"100R","R4 R5","0603","C54021"
"20K","R22","0603","C4184"
"22K","R21","0603","C31850"
"3.3uH","L1","0603","C21189"
"MB85RC04VPNF-G-JNERE1","U4","SOIC-8","C8738"
"24LC02BT-I/SN","U7","SOIC-8","C5453"
"W25Q32JVSS","U6","SOP-8","C82344"
"0R","R20 R19 R18 R31 R8 R54 R55 R12 R13 R11 R25","0603","NM_C21189"
"0R","R30 R33 R27 R24 R1 R17 R7 R49 R63","0603","C21189"
"221K","R6","0603","C22894"
"287K","R9","0603","C22972"
"182K","R2","0603","C22894"
"187K","R3","0603","C22896"
"MMBT4403","Q1","SOT-23-3","C85183"
"PCF8563T_5,518","IC1","SOIC-8","C7440"
"TPL5010DDCR","U1","SOT-23-6","C473912"
"32.768kHz 12.5pF","Y1","3215","C97606"
"22pF","C1","0402","C76960"
"10K","R16 R58 R39 R68 R73 R67 R71 R69","0603","C25804"
"TPS63900DSKR","U10","",""
"10uF","C23","0603","NM_C19702"
"22uF","C24","0603","NM_C59461"
"36.5K","R52","0603","NM_C51261_"
"TP4056X","U8","SOP-8","C2763448"
"1K","R37 R36 R72","0603","C21190"
"0.5R","R35","2512","C27777"
"100K","R50 R44 R38 R23","0603","C25803"
"IRLML6244TRPBF","Q3 Q6","SOT-23-3","C143946"
"1M","R47 R48 R53 R34 R51 R65 R42 R15 R45","0603","C22935"
"10nF","C19 C46","0603","C100042"
"4.7uF","C20 C17","0603","C19666"
"22R","R40 R41","0603","C23345"
"BLM18PG221SN1D","FB2 FB1","0603","C80165"
"MF-FSMF050X-2","F1 F2","0603","C210357"
"FDC638P","Q2 Q7","SSOT-6",""
"1N4148WT","D6 D4 D5 D3","SOD-523","C232841"
"2.2uH","L2","0603",""
"SIP32431DR3-T1GE3","IC2 IC3","SC-70-6","C141606"
"BSS138","Q5 Q4","SOT-323-3","C24553"
"USBLC6-2SC6","D8","SOT-23-6","C7519"
"1uF","C26 C28 C27 C45","0603","C59782"
"0R","R10 R46 R56","1206","NM_C17888"
"NCP161ASN330T1G","PS1","SOT-23-5","C892187"
"BSS84AK,215","Q8 Q9","SOT-23-3","C127273"
"PMEG10020AELPX","D10","SOD-128","C503397"
"PMEG10010ELRX","D9","SOD-123W","C179426"
"4.7uF","C39 C40","0402","C77004"
"STM32F411CEU6","U13","UFQFPN-48","C60420"
"0.1uF","C41 C42 C43 C38","0402","C1525"
"1uF","C37","0402","C307427"
"25mHz 9pF +-10ppm","Y3","3225","C255920"
"8pF","C35 C36","0402","C161335"
"787R","R75","0402","C270582"
"32.768kHz 6pF","Y2","3215","C2692145"
"6pF","C34 C33","0402","C437443"
"600Ω@100MHz","L3","0603","C133937"
