"Designator","Mid X","Mid Y","Layer","Rotation"
"C36","183.63mm","-62.63mm","bottom","270.0"
"C35","188.99mm","-63.36mm","bottom","90.0"
"C34","191.83mm","-60.8mm","bottom","90.0"
"C33","191.83mm","-58.59mm","bottom","270.0"
"Q5","198.07mm","-45.05mm","bottom","90.0"
"Q4","177.31mm","-46mm","bottom","180.0"
"D9","177.11mm","-40.72mm","bottom","270.0"
"D10","173.9mm","-41.17mm","bottom","270.0"
"Q9","162.09mm","-69.67mm","bottom","90.0"
"Q8","170.01mm","-43.58mm","bottom","0.0"
"R75","184.52mm","-60.46mm","bottom","0.0"
"L3","180.52mm","-58.91mm","bottom","90.0"
"C43","187.99mm","-47.73mm","bottom","0.0"
"C42","179.91mm","-48.41mm","bottom","0.0"
"C41","189.42mm","-55.5mm","bottom","270.0"
"C40","190.51mm","-55.5mm","bottom","270.0"
"C39","179.84mm","-49.96mm","bottom","270.0"
"C38","182.38mm","-58.88mm","bottom","180.0"
"C37","183.35mm","-57.78mm","bottom","180.0"
"C1","187.9mm","-77.95mm","bottom","90.0"
"Y3","186.3mm","-62.99mm","bottom","180.0"
"C24","164.85mm","-54.09mm","bottom","90.0"
"R10","158.26mm","-58.61mm","bottom","270.0"
"R56","189.78mm","-40.53mm","bottom","270.0"
"R46","179.91mm","-40.55mm","bottom","270.0"
"R11","156.74mm","-51.64mm","bottom","270.0"
"R45","155.38mm","-62.7mm","bottom","90.0"
"R42","156.17mm","-65.24mm","bottom","180.0"
"R35","144.69mm","-58.99mm","bottom","0.0"
"R25","154.75mm","-67.7mm","bottom","90.0"
"R23","158.91mm","-62.7mm","bottom","90.0"
"R15","158.55mm","-70.34mm","bottom","0.0"
"Q7","158.05mm","-67.85mm","bottom","270.0"
"Q6","162.06mm","-62.55mm","bottom","0.0"
"PS1","154.85mm","-56.82mm","bottom","270.0"
"C46","157.13mm","-62.7mm","bottom","90.0"
"C45","152.15mm","-57.28mm","bottom","90.0"
"C27","154.05mm","-53.73mm","bottom","0.0"
"IC1","195.06mm","-75.55mm","bottom","270.0"
"F2","171.53mm","-39.86mm","bottom","90.0"
"F1","149.15mm","-71.4mm","bottom","0.0"
"U10","162.4mm","-53.63mm","bottom","270.0"
"R58","181.6mm","-84.88mm","bottom","270.0"
"C13","199.96mm","-92mm","bottom","270.0"
"R18","189.13mm","-92.34mm","bottom","0.0"
"U4","195.08mm","-89.94mm","bottom","270.0"
"C6","215.76mm","-62.76mm","bottom","0.0"
"Y2","189.9mm","-59.68mm","bottom","270.0"
"Y1","189.7mm","-77.19mm","bottom","90.0"
"U13","184.76mm","-52.46mm","bottom","0.0"
"U8","146.52mm","-53.1mm","bottom","270.0"
"U7","195.05mm","-83.105mm","bottom","270.0"
"U6","171.35mm","-57.96mm","bottom","0.0"
"U2","213.25565mm","-55.815mm","bottom","90.0"
"U1","176.615mm","-86.62mm","bottom","180.0"
"R73","215.98mm","-42.34mm","bottom","0.0"
"R72","180.19mm","-75.43mm","bottom","180.0"
"R71","171.77mm","-71.37mm","bottom","90.0"
"R69","175.51mm","-80.88mm","bottom","0.0"
"R68","175.51mm","-79.12mm","bottom","0.0"
"R67","175.5mm","-75.52mm","bottom","0.0"
"R65","215.36mm","-89.76mm","bottom","0.0"
"R63","175.22mm","-72.16mm","bottom","0.0"
"R55","166.91mm","-51.64mm","bottom","0.0"
"R54","166.13mm","-49.91mm","bottom","0.0"
"R53","167.29mm","-47.41mm","bottom","270.0"
"R52","162.6mm","-49.95mm","bottom","0.0"
"R51","200.73mm","-44.51mm","bottom","270.0"
"R50","181.45mm","-43.67mm","bottom","0.0"
"R49","201.47mm","-46.96mm","bottom","0.0"
"R48","174.33mm","-46.21mm","bottom","270.0"
"R47","202.43mm","-44.51mm","bottom","270.0"
"R44","169.98mm","-49.72mm","bottom","0.0"
"R41","154.4375mm","-72.85mm","bottom","0.0"
"R40","154.45mm","-75.95mm","bottom","0.0"
"R39","141.69mm","-53.41mm","bottom","270.0"
"R38","146.7mm","-74.99mm","bottom","90.0"
"R37","158.97mm","-39.07mm","bottom","180.0"
"R36","162.2mm","-39.07mm","bottom","0.0"
"R34","141.92mm","-81.73mm","bottom","180.0"
"R33","170.72mm","-51.75mm","bottom","0.0"
"R32","206.22mm","-55.38mm","bottom","270.0"
"R31","169.88mm","-63.6mm","bottom","0.0"
"R30","173.04mm","-63.6mm","bottom","0.0"
"R29","207.93mm","-55.37mm","bottom","270.0"
"R28","196.03mm","-70.54mm","bottom","0.0"
"R27","201.72mm","-83.2mm","bottom","180.0"
"R26","192.03mm","-70.53mm","bottom","180.0"
"R24","199.96mm","-88.57mm","bottom","270.0"
"R22","219.7675mm","-55.72mm","bottom","0.0"
"R21","218.98mm","-53.27mm","bottom","270.0"
"R20","189.13mm","-88.89mm","bottom","0.0"
"R19","189.13mm","-90.59mm","bottom","0.0"
"R17","175.02mm","-90.35mm","bottom","90.0"
"R16","177.02mm","-90.35mm","bottom","90.0"
"R13","212.78mm","-70.52mm","bottom","270.0"
"R12","203.21mm","-50.23mm","bottom","0.0"
"R9","181.01mm","-90.32mm","bottom","90.0"
"R8","201.73mm","-73.46mm","bottom","0.0"
"R7","189.2575mm","-73.56mm","bottom","180.0"
"R6","182.96mm","-90.3025mm","bottom","90.0"
"R5","219.14mm","-62.79mm","bottom","180.0"
"R4","221.78mm","-60.82mm","bottom","180.0"
"R3","182.96mm","-93.69mm","bottom","270.0"
"R2","181.01mm","-93.6075mm","bottom","270.0"
"R1","178.99mm","-90.34mm","bottom","270.0"
"Q3","174.68mm","-49.75mm","bottom","180.0"
"Q2","170.49mm","-47.05mm","bottom","270.0"
"Q1","220.08mm","-49.57mm","bottom","0.0"
"L2","162.4mm","-57.89mm","bottom","180.0"
"L1","223.68mm","-51.92mm","bottom","90.0"
